
uid,id_sala,id_switch,mac,id_maquina,data_inicio,data_fim
8387ec7c94b5423fbee72252d120a130,,,,,2025-12-02T20:53:11.429804,2025-12-02T20:53:11.430351
8c6e2627eb8b4f5396d35f675d16d430,,,,,2025-12-02T20:59:11.503283,2025-12-02T20:59:11.503901
bf56c7a349da4ddb8f3e7e86e7627318,,,,,2025-12-02T22:07:13.367022,2025-12-02T22:07:13.367567
d320b0f50a2c461984cb01419c3e87a4,,,,,2025-12-02T22:09:14.506195,2025-12-02T22:09:14.506776
2eecfbe1555b4b2491149fb937380978,,,,,2025-12-02T22:10:17.107119,2025-12-02T22:10:17.107698
129c698346ca41dca96af9679b152354,,,,,2025-12-02T22:18:00,2025-12-02T22:19:00
5d75b1bbf984471f81de676debab5fad,,,,,2025-12-02T22:18:00,2025-12-02T22:19:00
